Item Code,Product Type,Image Url,FlowerWyz Image Url,COMMON
S9-4456,FA,https://www.floristone.com/flowers/products/S9-4456.jpg,https://www.flowerwyz.com/images/sympathy-gift-ideas.jpg,1000
T163-1A,O,https://www.floristone.com/flowers/products/T163-1A.jpg,https://www.flowerwyz.com/images/next-day-flower-delivery.jpg,1000
B30-4434,V,https://www.floristone.com/flowers/products/B30-4434.jpg,https://www.flowerwyz.com/images/florist-supplies.jpg,1000
B4-4338,C,https://www.floristone.com/flowers/products/B4-4338.jpg,https://www.flowerwyz.com/images/sending-birthday-flowers.jpg,1000
E3-4811,R,https://www.floristone.com/flowers/products/E3-4811.jpg,https://www.flowerwyz.com/images/anniversary-gift-ideas.jpg,1000
T132-2A,O,https://www.floristone.com/flowers/products/T132-2A.jpg,https://www.flowerwyz.com/images/flowers-delivered-tomorrow.jpg,1000
T212-3A,P,https://www.floristone.com/flowers/products/T212-3A.jpg,https://www.flowerwyz.com/images/rare-plants.jpg,1000
B30-4341,V,https://www.floristone.com/flowers/products/B30-4341.jpg,https://www.flowerwyz.com/images/next-day-flowers.jpg,1000
AFS201,C,https://www.floristone.com/flowers/products/AFS201.jpg,https://www.flowerwyz.com/files/affordable-flowers.jpg,1000
E2-4305,R,https://www.floristone.com/flowers/products/E2-4305.jpg,https://www.flowerwyz.com/images/wedding-anniversary-flowers.jpg,1000
F1-2228,O,https://www.floristone.com/flowers/products/F1-2228.jpg,https://www.flowerwyz.com/images/deliver-flowers-tomorrow.jpg,1000
T212-1A,P,https://www.floristone.com/flowers/products/T212-1A.jpg,https://www.flowerwyz.com/images/send-plant.jpg,1000
B29-4805,V,https://www.floristone.com/flowers/products/B29-4805.jpg,https://www.flowerwyz.com/images/next-day-delivery-flowers.jpg,1000
S38-4406,FA,https://www.floristone.com/flowers/products/S38-4406.jpg,https://www.flowerwyz.com/images/sympathy-flowers-online.jpg,1000
B23-4386,R,https://www.floristone.com/flowers/products/B23-4386.jpg,https://www.flowerwyz.com/images/cheap-valentines-flowers.jpg,1000
B27-4804,V,https://www.floristone.com/flowers/products/B27-4804.jpg,https://www.flowerwyz.com/images/send-flowers-tomorrow.jpg,1000
B30-4340,C,https://www.floristone.com/flowers/products/B30-4340.jpg,https://www.flowerwyz.com/files/centerpiece.jpg,1000
C28-4893,P,https://www.floristone.com/flowers/products/C28-4893.jpg,https://www.flowerwyz.com/images/valentine-flowers-and-plants.jpg,1000
